Accession,Description,Coverage [%],# Peptides,# PSMs,# AAs,Mmus_C57-6J_LVR_FLT_I_Rep1_M21,Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mmus8_C57-6J_LVR_FLT_C_Rep1_M25,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Mmus_C57-6J_LVR_VIV_C_Rep1_M16,Mmus_C57-6J_LVR_VIV_C_Rep2_M17,RR1_GC_NASA_LVR_POOL,RR1_GC_NASA+CASIS_LVR_POOL,RR1_BA_CASIS_LVR_POOL,Mmus_C57-6J_LVR_FLT_I_Rep1_M21,Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mmus_C57-6J_LVR_FLT_C_Rep1_M25,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Mmus_C57-6J_LVR_VIV_C_Rep1_M16,Mmus_C57-6J_LVR_VIV_C_Rep2_M17,RR1_GC_NASA_LVR_POOL,RR1_GC_NASA+CASIS_LVR_POOL,RR1_BA_CASIS_LVR_POOL
O00231,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3,8,3,8,422,105.0,53.8,101.7,88.7,104.2,107.8,113.5,79.3,87.7,94.8,89.8,80.4,113.9,92.2,101.7,90.0,87.0,78.5,71.5,109.5
P22830,"Ferrochelatase, mitochondrial OS=Homo sapiens OX=9606 GN=FECH PE=1 SV=2",11,3,14,423,89.8,76.5,98.2,121.8,90.8,112.4,106.0,74.4,101.0,108.6,26.7,23.0,35.1,31.2,37.0,34.5,18.9,28.0,22.7,32.4
Q9NWZ5,Uridine-cytidine kinase-like 1 OS=Homo sapiens OX=9606 GN=UCKL1 PE=1 SV=2,1,1,1,548,20.7,12.8,22.0,19.3,16.9,21.5,23.2,19.0,13.4,24.8,,,,,,,,,,
Q8IWC1,MAP7 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=MAP7D3 PE=1 SV=2,1,1,1,876,,,,,,,,,,,16.9,19.8,31.6,20.1,19.4,20.7,12.4,15.8,10.9,33.9
Q7RTV2,Glutathione S-transferase A5 OS=Homo sapiens OX=9606 GN=GSTA5 PE=1 SV=1,8,2,6,222,138.0,69.7,94.2,110.0,112.7,134.8,129.1,107.6,108.5,119.2,204.2,198.8,238.2,225.2,200.0,205.9,180.8,193.7,121.7,258.2
O75396,Vesicle-trafficking protein SEC22b OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=5,25,4,12,215,27.0,13.3,15.3,34.0,18.6,24.1,26.2,16.7,17.4,19.3,19.6,20.9,37.5,24.7,22.0,23.5,18.4,18.0,13.1,30.8
P34096,Ribonuclease 4 OS=Homo sapiens OX=9606 GN=RNASE4 PE=1 SV=3,9,1,2,147,121.4,76.4,154.8,98.3,121.9,91.7,117.8,89.6,121.7,109.1,33.9,35.4,68.6,58.0,58.7,63.4,48.1,48.8,39.3,68.9
Q14376,UDP-glucose 4-epimerase OS=Homo sapiens OX=9606 GN=GALE PE=1 SV=2,2,1,3,348,77.6,42.6,60.2,83.9,45.1,76.5,74.0,47.7,55.9,54.9,39.3,36.7,49.8,39.5,41.5,38.0,30.1,38.1,26.0,46.7
O60749,Sorting nexin-2 OS=Homo sapiens OX=9606 GN=SNX2 PE=1 SV=2,12,5,12,519,34.6,18.2,40.2,35.7,40.2,45.6,35.6,27.7,26.8,32.1,24.6,19.4,34.9,26.1,29.2,34.5,17.1,27.5,18.2,29.0
Q8WYJ6,Septin-1 OS=Homo sapiens OX=9606 GN=SEPTIN1 PE=1 SV=3,2,1,4,372,195.6,109.7,217.5,202.9,190.4,203.0,204.1,163.7,197.8,203.8,125.9,114.3,206.1,139.4,157.4,167.7,137.3,136.9,130.8,186.2
O00139,Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3,1,1,1,706,16.7,8.8,33.8,19.9,27.3,21.1,26.7,18.2,22.2,22.7,,,,,,,,,,
P32969,60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1,15,2,35,192,28.8,17.6,23.8,33.1,20.1,23.8,32.2,25.1,27.5,17.7,118.4,116.4,183.3,119.8,148.6,112.4,92.8,90.6,104.0,158.6
P00797,Renin OS=Homo sapiens OX=9606 GN=REN PE=1 SV=1,2,1,1,406,41.4,25.3,62.3,94.1,46.6,68.9,58.7,38.8,63.8,52.0,,,,,,,,,,
P13807,"Glycogen [starch] synthase, muscle OS=Homo sapiens OX=9606 GN=GYS1 PE=1 SV=2",1,1,2,737,621.8,539.4,806.3,872.7,710.1,774.3,725.6,629.1,611.2,611.4,,,,,,,,,,
Q96S55,ATPase WRNIP1 OS=Homo sapiens OX=9606 GN=WRNIP1 PE=1 SV=2,5,3,6,665,54.4,34.8,57.5,58.1,56.9,49.6,57.6,39.4,58.0,48.7,20.0,19.6,40.2,21.4,24.8,32.1,18.0,20.0,17.5,26.1
Q9UNS2,COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3,11,4,7,423,35.6,26.7,29.2,40.7,33.3,39.1,36.5,33.5,34.3,35.9,35.9,26.3,31.8,23.5,25.7,21.6,17.4,21.8,16.2,38.7
Q9UIL1,Short coiled-coil protein OS=Homo sapiens OX=9606 GN=SCOC PE=1 SV=2,11,1,2,159,16.2,6.5,15.1,21.9,17.0,13.6,16.0,18.3,13.7,11.4,10.4,10.3,19.7,15.6,13.2,16.7,14.3,16.1,14.1,20.8
Q6PII5,Hydroxyacylglutathione hydrolase-like protein OS=Homo sapiens OX=9606 GN=HAGHL PE=1 SV=1,2,1,1,290,40.6,10.4,84.0,90.0,73.1,47.9,67.0,34.7,78.7,49.5,,,,,,,,,,
Q9BYD2,"39S ribosomal protein L9, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL9 PE=1 SV=2",7,2,5,267,25.0,18.0,27.6,27.5,19.5,24.1,23.9,17.5,20.7,21.5,39.6,33.9,43.5,42.2,45.3,43.6,36.7,33.5,35.8,42.6
Q96B36,Proline-rich AKT1 substrate 1 OS=Homo sapiens OX=9606 GN=AKT1S1 PE=1 SV=1,6,1,3,256,83.2,47.8,85.3,139.1,82.8,96.1,96.1,68.7,83.8,79.8,18.8,14.9,26.8,18.5,23.4,21.9,16.1,17.8,19.2,23.6
O60814,Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3,30,4,122,126,99.2,60.2,130.5,106.8,97.9,101.9,103.4,98.0,90.2,88.3,40.4,43.1,68.0,47.1,49.9,47.3,37.3,40.1,25.6,49.0
P34932,Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4,15,10,42,840,27.0,15.9,28.5,38.6,27.3,28.9,35.2,20.1,32.7,22.1,37.0,32.5,46.0,35.6,42.4,33.2,26.6,34.6,27.3,45.5
P24390,ER lumen protein-retaining receptor 1 OS=Homo sapiens OX=9606 GN=KDELR1 PE=1 SV=1,9,1,1,212,12.2,7.3,10.6,25.3,10.4,14.4,12.6,11.5,7.7,10.9,,,,,,,,,,
P46736,Lys-63-specific deubiquitinase BRCC36 OS=Homo sapiens OX=9606 GN=BRCC3 PE=1 SV=2,10,2,2,316,32.2,16.0,39.3,43.0,36.8,39.9,30.1,28.4,37.4,31.3,,,,,,,,,,
P46779,60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=3,5,1,2,137,152.7,95.9,129.5,217.3,121.9,148.3,154.3,114.4,106.9,110.0,,,,,,,,,,
O15438,ATP-binding cassette sub-family C member 3 OS=Homo sapiens OX=9606 GN=ABCC3 PE=1 SV=3,2,2,5,1527,,,,,,,,,,,15.7,14.5,19.4,12.3,18.2,13.2,13.6,9.5,17.1,19.2
P51530,DNA replication ATP-dependent helicase/nuclease DNA2 OS=Homo sapiens OX=9606 GN=DNA2 PE=1 SV=3,1,1,3,1060,,,,,,,,,,,50.6,48.4,101.6,54.2,74.2,58.7,46.7,53.2,40.5,71.4
O43172,U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens OX=9606 GN=PRPF4 PE=1 SV=2,9,3,6,522,13.6,7.3,13.7,14.2,11.9,14.0,15.4,8.5,12.3,14.1,14.5,14.3,21.5,14.3,15.8,22.3,17.1,18.0,15.0,20.3
Q13085,Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2,15,25,62,2346,64.9,30.7,54.9,91.3,49.9,80.3,85.8,59.8,54.5,61.7,50.7,61.4,53.8,56.1,62.7,59.7,48.1,50.1,34.4,62.6
P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R1A PE=1 SV=4,19,9,24,589,139.8,77.5,105.6,109.3,108.7,149.5,124.3,110.1,85.3,121.8,64.2,65.3,80.5,71.2,70.8,79.3,71.8,66.5,49.7,90.5
Q07020,60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=2,4,1,2,188,174.5,107.7,123.5,221.4,102.8,158.3,146.0,125.4,92.8,111.4,94.8,80.6,102.8,100.0,87.3,104.7,44.2,70.2,50.7,115.9
Q8IYT4,Katanin p60 ATPase-containing subunit A-like 2 OS=Homo sapiens OX=9606 GN=KATNAL2 PE=1 SV=3,1,1,2,538,8.8,4.3,74.8,39.8,30.2,21.9,38.5,13.4,49.4,20.2,10.5,10.0,46.7,38.1,48.1,56.0,35.5,25.3,44.3,42.2
P60953,Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2,7,1,3,191,10.9,11.2,11.9,21.6,10.7,12.4,8.1,8.0,12.5,13.0,,,,,,,,,,
Q14566,DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1,1,1,1,821,,,,,,,,,,,26.3,25.2,52.7,36.6,48.7,59.1,28.5,47.5,36.1,74.0
O60506,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2,8,4,20,623,36.8,20.5,41.5,56.2,49.5,43.8,47.7,36.9,35.5,33.7,56.4,46.9,104.8,64.0,86.8,72.7,63.4,66.7,47.5,77.9
P49789,Bis(5'-adenosyl)-triphosphatase OS=Homo sapiens OX=9606 GN=FHIT PE=1 SV=3,7,1,1,147,,,,,,,,,,,28.3,22.8,30.5,34.4,29.8,23.6,23.1,25.7,27.0,38.7
O43670,BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens OX=9606 GN=ZNF207 PE=1 SV=1,5,2,7,478,52.5,38.9,63.9,74.9,58.2,58.6,60.1,51.8,52.5,51.2,53.3,53.8,106.5,63.0,82.7,72.1,57.9,65.1,47.9,81.8
P17174,"Aspartate aminotransferase, cytoplasmic OS=Homo sapiens OX=9606 GN=GOT1 PE=1 SV=3",20,7,64,413,187.5,111.3,223.3,210.7,174.6,186.4,206.4,164.8,188.8,192.4,207.9,177.4,375.5,213.5,205.6,224.2,239.7,208.1,188.3,281.0
Q5JR12,Protein phosphatase 1J OS=Homo sapiens OX=9606 GN=PPM1J PE=1 SV=1,1,1,2,505,,,,,,,,,,,209.1,512.4,286.6,652.4,311.5,226.4,254.6,235.6,19.1,219.3
Q8WUW1,Protein BRICK1 OS=Homo sapiens OX=9606 GN=BRK1 PE=1 SV=1,11,1,1,75,109.8,70.3,115.3,128.6,125.0,109.2,118.5,95.7,105.2,106.9,,,,,,,,,,
Q9NRY6,Phospholipid scramblase 3 OS=Homo sapiens OX=9606 GN=PLSCR3 PE=1 SV=2,2,1,3,295,120.9,74.7,133.8,126.8,137.0,147.0,146.4,110.1,140.1,130.5,76.9,74.3,99.5,83.9,100.6,105.7,68.7,74.7,66.6,113.9
P30520,Adenylosuccinate synthetase isozyme 2 OS=Homo sapiens OX=9606 GN=ADSS2 PE=1 SV=3,11,4,13,456,29.3,13.6,27.7,34.4,34.2,24.7,24.4,23.3,28.3,24.3,15.0,11.2,19.0,14.3,14.3,13.9,10.9,13.2,7.7,19.9
P61923,Coatomer subunit zeta-1 OS=Homo sapiens OX=9606 GN=COPZ1 PE=1 SV=1,6,1,5,177,,,,,,,,,,,26.9,23.7,45.8,28.8,38.6,27.3,21.9,27.4,16.6,33.5
P53618,Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB1 PE=1 SV=3,14,11,32,953,183.0,105.1,193.9,227.7,183.6,193.4,176.1,143.2,169.5,157.0,48.7,48.9,75.3,50.2,63.0,53.9,48.2,49.4,38.7,63.9
Q12873,Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3,1,3,6,2000,41.8,18.4,90.0,88.6,63.4,54.9,62.1,112.2,73.6,147.9,19.8,15.2,29.1,17.6,30.9,33.2,21.3,44.3,26.1,70.1
P30086,Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PEBP1 PE=1 SV=3,7,1,6,187,12.8,8.3,16.7,14.8,15.0,13.8,11.7,12.2,10.0,15.0,6.9,8.8,11.6,14.6,17.2,11.3,11.3,12.7,8.1,13.2
P55769,NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3,9,1,3,128,14.2,7.1,25.9,18.5,19.3,23.0,18.2,17.0,17.3,15.1,9.5,5.8,18.8,14.1,7.0,14.0,9.8,9.7,11.6,15.2
O75955,Flotillin-1 OS=Homo sapiens OX=9606 GN=FLOT1 PE=1 SV=3,11,4,12,427,12.9,6.4,16.2,15.2,11.5,14.8,12.6,9.4,14.0,10.2,100.0,87.5,141.1,123.3,124.4,136.6,109.4,104.8,97.4,146.1
Q8N1Q8,Acyl-coenzyme A thioesterase THEM5 OS=Homo sapiens OX=9606 GN=THEM5 PE=1 SV=2,3,1,1,247,,,,,,,,,,,36.9,31.6,70.5,30.3,44.6,41.7,26.8,40.3,22.8,41.2
Q96BM9,ADP-ribosylation factor-like protein 8A OS=Homo sapiens OX=9606 GN=ARL8A PE=1 SV=1,10,2,3,186,55.6,33.0,57.2,75.9,50.1,56.1,50.0,39.1,31.7,45.3,37.8,34.6,61.8,45.9,49.1,57.8,56.2,39.3,29.9,58.6
Q9Y247,Protein FAM50B OS=Homo sapiens OX=9606 GN=FAM50B PE=1 SV=1,2,1,4,325,581.9,398.2,539.0,742.2,498.0,619.1,555.4,424.7,511.5,439.7,337.8,378.8,392.5,423.4,411.4,396.9,265.4,344.3,298.5,453.8
P12882,Myosin-1 OS=Homo sapiens OX=9606 GN=MYH1 PE=1 SV=3,15,28,120,1939,9.6,7.3,10.8,10.7,11.2,16.6,11.7,98.0,9.5,104.5,3.5,6.1,5.4,4.2,12.8,8.1,357.6,34.2,15.9,44.2
P68104,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,7,3,16,462,54.4,32.2,52.5,59.9,49.4,55.4,42.2,40.4,36.5,46.0,57.8,46.7,78.8,55.1,61.4,64.2,78.8,52.1,35.7,86.2
P07311,Acylphosphatase-1 OS=Homo sapiens OX=9606 GN=ACYP1 PE=1 SV=2,19,2,3,99,84.8,53.4,63.5,62.1,66.0,62.9,65.8,76.9,61.4,77.4,33.3,27.3,33.5,30.2,29.0,29.5,30.8,25.0,19.6,31.2
Q9Y3X0,Coiled-coil domain-containing protein 9 OS=Homo sapiens OX=9606 GN=CCDC9 PE=1 SV=1,4,2,2,531,54.7,32.4,79.5,67.3,70.3,61.7,69.1,53.9,63.0,53.6,,,,,,,,,,
Q15257,Serine/threonine-protein phosphatase 2A activator OS=Homo sapiens OX=9606 GN=PTPA PE=1 SV=3,5,2,3,358,95.7,77.3,110.5,125.1,96.2,110.0,109.2,90.0,98.6,99.5,51.5,49.1,57.5,49.8,59.3,51.6,46.0,49.8,29.6,56.2
Q5TZA2,Rootletin OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=2,1,2,9,2017,31.9,17.0,37.9,29.6,29.2,24.6,26.3,26.5,29.1,24.8,54.6,42.9,57.7,44.5,43.1,47.8,32.8,40.8,29.3,50.2
Q15042,Rab3 GTPase-activating protein catalytic subunit OS=Homo sapiens OX=9606 GN=RAB3GAP1 PE=1 SV=3,1,1,1,981,53.7,29.3,66.8,61.3,69.4,65.3,63.7,49.6,59.4,55.2,,,,,,,,,,
Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Homo sapiens OX=9606 GN=RPRD1B PE=1 SV=1,12,3,10,326,34.6,14.0,37.1,46.0,36.8,35.4,36.9,29.9,39.3,26.5,18.1,18.9,26.5,21.5,21.4,33.3,16.0,21.9,19.6,25.1
Q2I0M5,R-spondin-4 OS=Homo sapiens OX=9606 GN=RSPO4 PE=1 SV=2,3,1,6,234,360.4,220.7,309.0,327.9,316.4,320.6,341.0,268.4,282.9,290.5,499.6,470.0,661.5,528.4,516.8,498.2,503.2,480.9,331.9,568.3
P49638,Alpha-tocopherol transfer protein OS=Homo sapiens OX=9606 GN=TTPA PE=1 SV=1,13,3,12,278,60.7,37.9,61.7,63.1,69.7,55.5,56.5,47.7,47.3,52.6,62.1,60.3,82.7,55.7,79.0,52.2,51.6,57.5,32.6,68.7
O75306,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS2 PE=1 SV=2",10,4,11,463,86.4,55.0,83.4,68.3,63.9,90.4,81.5,76.4,50.7,66.7,60.8,52.7,57.8,56.2,73.6,55.1,49.1,43.6,39.5,55.7
Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens OX=9606 GN=ACAT2 PE=1 SV=2",13,4,22,397,102.5,63.5,101.5,97.6,78.8,135.7,98.9,76.4,86.6,107.7,94.7,82.8,122.3,96.4,121.8,98.5,81.2,91.4,68.9,129.9
Q16204,Coiled-coil domain-containing protein 6 OS=Homo sapiens OX=9606 GN=CCDC6 PE=1 SV=2,2,1,2,474,17.0,11.6,28.7,27.0,17.5,21.5,17.0,16.0,16.9,19.2,15.2,16.0,26.7,20.1,21.5,25.6,18.0,15.8,17.1,24.3
P33993,DNA replication licensing factor MCM7 OS=Homo sapiens OX=9606 GN=MCM7 PE=1 SV=4,1,1,2,719,31.0,39.6,44.5,67.1,55.8,35.2,43.7,41.5,26.8,55.2,25.1,20.2,33.4,28.1,26.6,25.6,23.6,31.2,20.5,30.9
Q7Z3C6,Autophagy-related protein 9A OS=Homo sapiens OX=9606 GN=ATG9A PE=1 SV=3,1,1,2,839,19.4,10.0,26.0,22.3,16.6,17.9,21.0,13.7,11.7,14.7,19.4,19.0,34.1,24.2,27.4,26.8,26.4,23.7,19.7,34.5
Q9UNH6,Sorting nexin-7 OS=Homo sapiens OX=9606 GN=SNX7 PE=1 SV=1,5,2,5,387,31.3,22.3,40.4,46.4,37.3,33.9,41.3,27.7,31.5,30.7,22.9,24.9,37.4,30.8,28.6,27.3,24.8,20.6,19.6,36.3
O00471,Exocyst complex component 5 OS=Homo sapiens OX=9606 GN=EXOC5 PE=1 SV=1,4,2,2,708,17.2,12.9,22.8,25.6,19.3,17.6,18.4,14.2,21.7,21.9,11.0,11.0,15.7,14.3,16.6,13.0,11.8,12.0,11.1,19.1
Q03164,Histone-lysine N-methyltransferase 2A OS=Homo sapiens OX=9606 GN=KMT2A PE=1 SV=5,0,1,13,3969,75.9,57.9,86.2,108.3,102.5,104.3,103.0,79.8,84.7,92.5,412.8,388.6,971.7,503.8,702.4,651.0,457.9,511.7,420.5,684.4
Q9H2M9,Rab3 GTPase-activating protein non-catalytic subunit OS=Homo sapiens OX=9606 GN=RAB3GAP2 PE=1 SV=1,2,3,3,1393,21.6,9.7,17.3,22.7,18.6,18.1,22.8,17.5,13.1,15.6,20.7,17.6,28.8,17.1,19.5,20.8,15.3,18.2,15.4,26.5
Q8IYL2,Probable tRNA (uracil-O(2)-)-methyltransferase OS=Homo sapiens OX=9606 GN=TRMT44 PE=1 SV=2,2,1,5,757,159.4,83.7,193.7,209.7,158.2,174.8,130.8,122.3,122.6,154.3,,,,,,,,,,
Q6NSJ0,Myogenesis-regulating glycosidase OS=Homo sapiens OX=9606 GN=MYORG PE=1 SV=2,1,1,3,714,186.8,159.9,250.3,275.0,200.0,241.0,215.0,169.8,180.6,187.6,250.1,240.1,403.7,254.6,377.9,280.3,222.2,270.5,205.7,335.9
O96017,Serine/threonine-protein kinase Chk2 OS=Homo sapiens OX=9606 GN=CHEK2 PE=1 SV=1,1,1,1,543,,,,,,,,,,,111.8,95.5,127.7,121.1,95.3,105.7,149.9,106.7,61.6,140.7
Q13158,FAS-associated death domain protein OS=Homo sapiens OX=9606 GN=FADD PE=1 SV=1,3,1,2,208,70.5,42.3,81.0,74.0,69.4,78.5,75.6,68.9,70.3,71.0,,,,,,,,,,
P48163,NADP-dependent malic enzyme OS=Homo sapiens OX=9606 GN=ME1 PE=1 SV=1,6,4,24,572,40.9,41.7,22.5,63.8,24.1,31.9,33.3,34.0,21.1,28.7,71.5,98.7,86.6,82.0,83.0,79.0,51.6,73.7,51.2,96.7
P25788,Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2,13,3,19,255,127.1,68.6,134.7,142.9,125.0,126.0,144.7,108.9,121.1,102.4,76.2,73.3,110.3,88.4,108.9,102.8,83.6,85.4,69.6,117.9
Q96KK3,Potassium voltage-gated channel subfamily S member 1 OS=Homo sapiens OX=9606 GN=KCNS1 PE=1 SV=2,1,1,1,526,182.8,116.9,195.8,199.3,205.4,192.3,179.6,139.7,181.0,155.3,,,,,,,,,,
Q76LX8,A disintegrin and metalloproteinase with thrombospondin motifs 13 OS=Homo sapiens OX=9606 GN=ADAMTS13 PE=1 SV=1,0,1,6,1427,169.1,112.0,203.1,190.4,176.6,181.6,188.4,140.4,163.2,155.9,290.9,252.9,420.6,325.9,347.8,309.2,223.5,313.5,243.7,370.0
Q6NSJ2,Pleckstrin homology-like domain family B member 3 OS=Homo sapiens OX=9606 GN=PHLDB3 PE=1 SV=3,1,1,1,640,117.8,102.1,98.8,129.1,99.7,113.7,80.0,83.0,62.5,90.4,,,,,,,,,,
Q9P2E3,NFX1-type zinc finger-containing protein 1 OS=Homo sapiens OX=9606 GN=ZNFX1 PE=1 SV=2,1,2,2,1918,12.1,4.9,14.1,20.8,16.1,14.2,10.6,12.6,13.4,15.4,188.0,196.0,281.8,203.7,238.7,187.4,138.3,199.5,121.6,226.8
Q9NP80,Calcium-independent phospholipase A2-gamma OS=Homo sapiens OX=9606 GN=PNPLA8 PE=1 SV=1,2,2,3,782,,,,,,,,,,,78.9,62.6,82.2,81.1,68.3,72.9,76.6,69.7,57.0,97.6
P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",38,10,272,375,127.8,81.1,148.8,152.3,140.4,143.9,148.9,115.1,139.4,117.5,86.5,74.7,115.2,81.1,105.9,170.0,63.7,85.6,72.9,174.0
P07307,Asialoglycoprotein receptor 2 OS=Homo sapiens OX=9606 GN=ASGR2 PE=1 SV=2,3,1,2,311,272.7,163.4,237.7,240.6,240.3,284.8,222.2,170.5,163.6,174.0,191.6,212.8,267.7,222.8,198.5,180.1,182.6,169.3,110.9,200.2
Q00839,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,10,8,19,825,168.8,97.8,160.0,161.9,163.7,168.7,161.1,130.4,135.2,143.7,131.3,120.0,195.9,129.6,131.0,142.7,121.1,117.9,103.1,152.9
Q9NWB6,Arginine and glutamate-rich protein 1 OS=Homo sapiens OX=9606 GN=ARGLU1 PE=1 SV=1,3,1,6,273,10.4,7.8,12.0,14.3,16.2,16.0,13.8,10.4,10.2,9.6,21.6,18.0,28.5,24.7,24.2,28.6,20.1,26.4,21.0,31.1
P07195,L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2,12,3,17,334,,,,,,,,,,,24.6,18.1,29.5,21.1,32.6,26.3,386.8,43.4,30.2,59.9
O95996,Adenomatous polyposis coli protein 2 OS=Homo sapiens OX=9606 GN=APC2 PE=1 SV=1,0,1,2,2303,101.6,67.0,54.2,111.6,55.8,98.1,79.0,75.0,50.5,81.3,103.8,91.5,162.9,134.9,105.5,106.6,95.7,102.8,66.9,140.4
P20810,Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=4,1,1,4,708,132.2,104.4,167.5,180.3,164.1,163.2,164.8,147.2,166.7,158.2,39.3,34.8,45.8,44.0,45.8,42.1,36.9,37.7,33.7,47.4
Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC2 PE=1 SV=1",10,4,13,563,130.1,75.7,119.6,135.1,121.7,119.4,128.4,117.3,129.3,109.2,88.6,83.7,99.8,98.1,102.4,99.3,65.0,77.7,78.1,107.5
P08319,All-trans-retinol dehydrogenase [NAD(+)] ADH4 OS=Homo sapiens OX=9606 GN=ADH4 PE=1 SV=5,3,1,2,380,96.5,74.1,151.8,74.1,81.7,89.2,88.5,81.4,111.7,96.2,42.7,32.6,50.6,44.5,74.9,60.2,285.0,87.1,68.4,109.9
P60468,Protein transport protein Sec61 subunit beta OS=Homo sapiens OX=9606 GN=SEC61B PE=1 SV=2,26,3,12,96,70.6,53.5,43.6,93.6,48.3,75.2,73.7,50.3,36.8,53.7,63.6,66.3,116.7,92.3,68.6,83.4,52.3,69.0,37.6,84.7
Q13835,Plakophilin-1 OS=Homo sapiens OX=9606 GN=PKP1 PE=1 SV=2,1,1,2,747,41.3,32.3,21.1,65.4,24.7,36.5,32.3,30.8,21.6,32.4,16.0,22.3,33.6,20.4,16.3,16.5,12.0,15.2,4.6,21.0
Q2LD37,Bridge-like lipid transfer protein family member 1 OS=Homo sapiens OX=9606 GN=BLTP1 PE=1 SV=2,0,2,6,5005,144.9,100.7,254.5,325.6,205.2,199.0,233.5,164.3,267.6,198.7,263.2,272.7,272.3,236.2,266.8,258.4,178.7,208.9,139.8,299.4
Q3MIN7,Ral guanine nucleotide dissociation stimulator-like 3 OS=Homo sapiens OX=9606 GN=RGL3 PE=1 SV=2,1,1,1,710,14.2,4.0,10.7,16.7,7.7,12.4,10.4,7.2,14.4,14.5,,,,,,,,,,
P20338,Ras-related protein Rab-4A OS=Homo sapiens OX=9606 GN=RAB4A PE=1 SV=3,11,2,6,218,21.2,10.3,20.7,30.3,22.4,19.6,22.9,13.8,12.2,20.1,,,,,,,,,,
Q07866,Kinesin light chain 1 OS=Homo sapiens OX=9606 GN=KLC1 PE=1 SV=2,4,2,4,573,90.2,50.0,127.8,115.4,95.4,99.7,103.9,72.4,95.1,78.3,37.2,30.0,74.9,45.3,50.2,45.9,47.2,41.8,35.8,49.7
Q04323,UBX domain-containing protein 1 OS=Homo sapiens OX=9606 GN=UBXN1 PE=1 SV=2,5,2,2,297,41.9,34.9,48.1,51.1,51.8,51.0,41.3,34.5,38.2,43.9,,,,,,,,,,
Q9GZT4,Serine racemase OS=Homo sapiens OX=9606 GN=SRR PE=1 SV=1,6,2,4,340,27.3,15.9,23.4,31.8,25.1,25.6,24.8,23.2,23.7,25.6,41.0,36.3,47.7,43.3,45.8,43.2,35.2,33.9,30.1,60.0
O94875,Sorbin and SH3 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SORBS2 PE=1 SV=3,4,3,10,1100,104.7,56.9,115.7,137.7,108.5,149.6,127.3,90.5,113.8,114.1,80.4,75.6,141.9,105.2,117.0,132.8,89.1,87.6,93.1,118.8
