Accession,Description,Coverage [%],# Peptides,# PSMs,# AAs,Abundances (Grouped): NASA Ftl 126,Abundances (Grouped): NASA Ftl 127N,Abundances (Grouped): NASA Ftl 127C,Abundances (Grouped): NASA Ftl 128N,Abundances (Grouped): NASA Ftl 128C,Abundances (Grouped): NASA Ftl 129N,Abundances (Grouped): NASA Ftl 129C,Abundances (Grouped): BA Pool Ftl 130N,Abundances (Grouped): Ftl Pool 130C,Abundances (Grouped): Pool Ftl 131,Abundances (Grouped): NASA GC 126,Abundances (Grouped): NASA GC 127N,Abundances (Grouped): NASA GC 127C,Abundances (Grouped): NASA GC 128N,Abundances (Grouped): NASA GC 128C,Abundances (Grouped): NASA GC 129N,Abundances (Grouped): NASA GC 129C,Abundances (Grouped): BA Pool GC 130N,Abundances (Grouped): GC Pool 130C,Abundances (Grouped): Pool GC 131
Q92896,Golgi apparatus protein 1 OS=Homo sapiens OX=9606 GN=GLG1 PE=1 SV=2,2,3,6,1179,14.6,8.1,17.9,19.0,16.1,16.1,18.0,13.7,14.8,14.7,16.9,16.4,23.8,15.3,14.2,19.2,16.3,14.5,11.0,18.0
O75410,Transforming acidic coiled-coil-containing protein 1 OS=Homo sapiens OX=9606 GN=TACC1 PE=1 SV=2,2,2,3,805,46.3,27.6,38.1,37.0,35.8,41.5,37.4,41.2,31.9,40.3,,,,,,,,,,
P23396,40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2,27,5,36,243,86.6,57.5,102.8,112.4,92.0,86.8,91.6,71.7,76.8,66.4,44.1,32.6,68.8,39.6,46.4,47.7,36.2,37.5,36.6,46.3
O94992,Protein HEXIM1 OS=Homo sapiens OX=9606 GN=HEXIM1 PE=1 SV=1,6,2,4,359,27.9,22.8,32.6,42.7,27.9,35.8,27.1,23.7,23.6,25.2,47.7,48.0,88.7,58.9,67.5,72.4,48.0,59.7,47.6,66.6
Q07075,Glutamyl aminopeptidase OS=Homo sapiens OX=9606 GN=ENPEP PE=1 SV=3,2,2,3,957,203.8,129.4,240.8,325.8,231.3,298.0,308.7,224.0,229.4,217.1,224.8,201.8,289.4,274.8,250.3,267.4,208.4,211.6,179.9,273.3
O95870,Phosphatidylserine lipase ABHD16A OS=Homo sapiens OX=9606 GN=ABHD16A PE=1 SV=3,7,3,7,558,34.0,17.8,18.1,39.8,23.9,32.0,35.0,21.8,25.0,29.5,19.3,19.0,37.9,25.2,25.1,29.3,24.7,28.7,14.9,33.8
Q9Y316,Protein MEMO1 OS=Homo sapiens OX=9606 GN=MEMO1 PE=1 SV=1,8,2,5,297,59.4,33.6,59.1,57.7,60.4,61.9,65.9,52.9,67.2,55.6,58.0,42.3,57.5,47.2,53.5,52.1,73.6,38.8,36.9,61.3
P61966,AP-1 complex subunit sigma-1A OS=Homo sapiens OX=9606 GN=AP1S1 PE=1 SV=1,16,2,4,158,75.4,41.1,66.3,86.3,66.3,77.7,85.5,59.8,65.0,59.9,40.5,37.8,62.2,46.6,42.5,46.4,45.6,34.6,33.6,59.8
O43633,Charged multivesicular body protein 2a OS=Homo sapiens OX=9606 GN=CHMP2A PE=1 SV=1,7,3,4,222,61.9,46.5,74.0,77.3,71.7,90.7,68.8,53.4,67.9,64.3,73.6,31.2,74.4,47.4,47.0,62.1,48.2,46.7,44.7,72.1
P12235,ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4,16,6,22,298,49.0,31.0,43.4,69.5,46.3,51.0,62.3,123.6,39.9,109.0,31.8,30.5,53.2,30.7,47.9,34.9,467.5,74.1,44.0,116.1
P49247,Ribose-5-phosphate isomerase OS=Homo sapiens OX=9606 GN=RPIA PE=1 SV=3,11,2,3,311,80.9,56.1,83.1,105.2,72.6,90.0,94.3,69.8,60.7,72.8,26.3,17.5,18.1,25.2,24.5,25.1,24.6,16.5,15.0,24.3
P35637,RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,5,3,8,526,,,,,,,,,,,145.7,134.4,216.8,175.0,182.0,172.9,148.4,137.0,101.1,184.2
Q13242,Serine/arginine-rich splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1,8,2,4,221,95.4,36.8,121.5,96.0,120.6,125.1,125.4,91.6,101.2,100.8,81.7,66.5,125.5,91.5,99.2,114.8,84.3,92.8,77.5,125.6
P07355,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2,22,7,25,339,44.5,25.6,35.4,48.4,42.4,46.9,67.1,47.7,50.6,53.2,59.5,44.5,76.3,55.2,59.2,67.4,59.1,56.9,44.7,77.0
Q8TD22,Sideroflexin-5 OS=Homo sapiens OX=9606 GN=SFXN5 PE=1 SV=1,8,3,7,340,71.7,40.7,35.9,67.3,56.7,62.9,54.3,54.1,35.2,55.8,90.1,79.3,120.8,119.1,116.8,108.5,84.4,90.1,78.8,129.5
Q99880,Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=H2BC13 PE=1 SV=3,30,4,124,126,109.9,69.3,120.7,138.0,114.4,121.5,120.2,112.3,101.1,123.5,104.8,93.2,193.4,117.9,130.4,187.2,104.0,127.4,98.9,159.8
O94906,Pre-mRNA-processing factor 6 OS=Homo sapiens OX=9606 GN=PRPF6 PE=1 SV=1,5,4,9,941,13.1,7.1,18.7,15.9,13.7,13.9,16.4,9.6,19.1,15.6,9.9,8.7,21.5,12.1,12.4,15.5,16.2,9.9,9.2,17.5
Q70E73,Ras-associated and pleckstrin homology domains-containing protein 1 OS=Homo sapiens OX=9606 GN=RAPH1 PE=1 SV=3,3,2,3,1250,39.4,26.3,64.9,53.6,47.2,45.9,54.6,40.1,38.5,38.7,13.0,15.8,27.4,22.1,20.0,18.4,18.8,20.4,12.9,31.2
Q6PKG0,La-related protein 1 OS=Homo sapiens OX=9606 GN=LARP1 PE=1 SV=2,6,5,9,1096,20.2,14.5,23.2,19.8,18.1,20.8,23.3,20.1,24.3,25.4,28.9,25.0,49.9,31.3,35.6,44.5,27.8,31.1,26.2,47.7
Q9H6R3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial OS=Homo sapiens OX=9606 GN=ACSS3 PE=1 SV=1",8,5,17,686,121.2,69.0,91.8,122.9,103.2,102.0,98.1,97.9,91.2,104.0,71.9,70.1,102.2,84.8,75.8,72.6,52.6,62.5,54.5,89.9
Q14397,Glucokinase regulatory protein OS=Homo sapiens OX=9606 GN=GCKR PE=1 SV=6,3,2,4,625,259.9,145.9,202.3,231.8,203.4,227.3,227.2,206.6,216.2,233.7,111.1,117.1,145.8,223.4,137.9,148.9,222.4,139.4,79.6,157.0
P40939,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",2,2,9,763,145.6,99.4,138.2,175.3,157.3,158.0,155.2,114.7,168.4,137.4,135.7,116.6,177.1,138.9,177.1,153.0,138.2,142.0,138.3,186.1
Q9BV81,ER membrane protein complex subunit 6 OS=Homo sapiens OX=9606 GN=EMC6 PE=1 SV=1,20,2,4,110,124.9,65.2,107.0,182.7,94.9,116.9,140.2,98.7,97.6,100.7,137.3,125.1,248.4,180.3,148.7,193.5,136.2,136.2,101.8,212.7
Q15365,Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2,40,8,37,356,80.6,60.0,99.7,93.9,101.2,104.1,97.0,72.1,83.9,84.7,73.5,70.3,126.2,80.4,86.7,95.0,67.6,82.5,69.3,103.4
P61221,ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1,12,6,13,599,44.5,27.2,61.6,59.9,47.4,52.3,43.8,46.6,48.9,52.1,22.4,18.2,32.5,31.2,23.6,25.6,20.5,26.9,14.4,29.9
Q9H8Y8,Golgi reassembly-stacking protein 2 OS=Homo sapiens OX=9606 GN=GORASP2 PE=1 SV=3,14,4,13,452,,,,,,,,,,,53.8,53.4,92.5,67.0,82.7,76.8,59.6,56.5,63.6,87.6
P02545,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,27,18,73,664,227.0,139.3,274.1,307.9,289.7,282.9,314.2,232.8,289.8,260.9,218.8,186.7,340.0,250.6,223.4,298.5,250.2,229.2,193.2,285.5
Q9Y6R1,Electrogenic sodium bicarbonate cotransporter 1 OS=Homo sapiens OX=9606 GN=SLC4A4 PE=1 SV=1,3,2,3,1079,,,,,,,,,,,23.0,19.9,33.1,32.7,33.3,35.3,22.4,27.1,24.8,38.8
P67809,Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3,12,2,7,324,115.2,62.6,133.6,142.2,111.4,127.7,121.1,86.7,112.5,100.1,19.4,16.2,35.7,24.9,25.3,25.4,23.9,22.7,19.4,30.9
P42229,Signal transducer and activator of transcription 5A OS=Homo sapiens OX=9606 GN=STAT5A PE=1 SV=1,3,2,4,794,50.7,24.9,48.1,46.5,42.0,46.8,46.1,34.5,42.9,40.0,51.2,46.2,71.5,56.5,63.9,63.5,45.2,45.7,46.7,71.7
P60900,Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1,20,5,68,246,79.3,45.2,84.7,95.9,86.3,90.2,88.7,63.7,85.5,77.4,46.9,42.8,57.8,53.6,55.0,55.5,53.7,50.4,46.7,69.5
Q16222,UDP-N-acetylhexosamine pyrophosphorylase OS=Homo sapiens OX=9606 GN=UAP1 PE=1 SV=3,9,4,6,522,38.9,24.8,34.9,44.6,38.8,37.7,41.9,31.6,34.1,33.2,17.2,17.4,31.1,16.8,19.6,21.7,19.8,15.0,18.0,23.7
Q92945,Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4,11,7,19,711,46.0,31.3,58.3,62.2,53.5,54.8,62.5,42.2,52.4,55.0,75.5,73.6,135.4,90.0,104.5,104.7,72.3,74.6,71.2,111.8
Q9UBG0,C-type mannose receptor 2 OS=Homo sapiens OX=9606 GN=MRC2 PE=1 SV=2,1,2,4,1479,14.1,5.1,78.8,85.6,47.7,41.9,53.2,31.6,53.6,40.5,31.5,25.1,88.6,58.3,144.9,116.8,63.0,65.2,75.8,111.3
Q13573,SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1,7,2,5,536,19.5,9.9,23.9,27.9,20.8,19.3,21.5,18.1,19.5,16.9,13.7,11.4,19.0,18.1,23.7,20.4,13.4,18.4,14.1,20.2
Q13596,Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=3,7,3,7,522,40.1,32.2,50.3,59.2,45.1,44.3,46.4,35.2,38.4,37.1,17.3,14.8,32.8,21.1,19.8,21.6,12.2,18.1,14.7,26.2
P42167,"Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2",13,4,14,454,50.3,27.9,46.3,74.9,37.5,64.9,56.3,43.4,44.0,46.9,40.1,42.1,69.5,46.7,50.0,50.4,40.4,45.8,37.9,67.1
P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,7,3,29,335,603.8,391.0,654.4,721.4,639.3,705.7,663.7,564.7,529.7,619.6,342.6,361.3,447.7,382.0,396.8,378.6,385.7,347.4,257.2,455.0
O00425,Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2,3,2,5,579,60.8,29.0,170.3,184.6,146.3,139.3,161.8,87.3,172.5,120.0,61.9,71.5,166.5,92.7,107.8,100.4,71.8,84.0,78.4,113.7
P26639,"Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3",9,7,22,723,62.4,35.2,73.4,87.3,69.9,72.3,70.1,61.1,58.6,69.3,88.5,82.8,120.8,105.8,114.9,125.5,95.2,97.5,88.2,143.6
Q5T447,E3 ubiquitin-protein ligase HECTD3 OS=Homo sapiens OX=9606 GN=HECTD3 PE=1 SV=1,6,4,8,861,29.1,17.9,33.4,30.8,33.7,29.7,29.2,23.8,29.9,27.0,62.0,66.2,101.7,73.8,84.5,89.7,81.0,76.1,62.8,101.5
Q5XPI4,E3 ubiquitin-protein ligase RNF123 OS=Homo sapiens OX=9606 GN=RNF123 PE=1 SV=1,1,2,6,1314,64.5,38.0,105.1,74.5,87.8,69.5,79.8,64.2,111.1,84.8,91.7,79.8,122.1,101.8,116.7,136.3,88.3,86.6,97.9,123.3
P61981,14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2,25,5,30,247,46.4,27.9,50.7,69.2,50.9,58.2,53.9,38.9,52.0,51.3,16.6,15.3,21.1,17.7,18.3,19.0,16.5,17.7,12.1,23.8
O60841,Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4,5,4,9,1220,16.4,10.6,20.2,15.9,17.5,14.1,14.9,13.7,17.7,19.1,20.7,19.8,28.2,18.9,23.4,18.9,17.2,19.0,12.6,25.4
P54725,UV excision repair protein RAD23 homolog A OS=Homo sapiens OX=9606 GN=RAD23A PE=1 SV=1,18,4,14,363,38.7,20.9,34.4,42.4,31.1,38.5,46.3,37.6,39.1,36.5,32.1,29.1,36.3,35.7,35.1,30.9,28.0,22.3,24.4,35.1
P22695,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC2 PE=1 SV=3",7,3,12,453,143.0,87.6,74.8,140.3,94.2,132.0,112.1,99.6,113.2,118.5,75.1,77.2,98.7,91.4,89.2,79.5,71.7,79.0,67.2,112.2
Q99733,Nucleosome assembly protein 1-like 4 OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1,6,2,7,375,,,,,,,,,,,25.1,24.4,35.9,33.4,30.4,35.3,37.8,29.9,19.6,37.7
P11021,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,19,11,114,654,309.8,225.2,283.3,420.4,278.8,334.1,319.6,273.9,265.1,255.1,258.0,207.0,421.5,283.7,273.8,315.1,173.1,231.3,209.0,321.8
Q15436,Protein transport protein Sec23A OS=Homo sapiens OX=9606 GN=SEC23A PE=1 SV=2,14,8,31,765,70.7,39.4,81.9,68.1,71.9,77.6,86.2,56.8,63.0,68.0,57.6,53.0,96.6,66.1,74.8,75.3,55.1,57.2,48.4,80.3
P50053,Ketohexokinase OS=Homo sapiens OX=9606 GN=KHK PE=1 SV=2,16,3,18,298,282.2,170.5,147.0,185.1,209.7,272.7,201.3,215.8,138.6,231.9,109.2,135.1,97.9,130.0,96.9,99.4,96.9,102.1,57.5,130.9
Q9H9A6,Leucine-rich repeat-containing protein 40 OS=Homo sapiens OX=9606 GN=LRRC40 PE=1 SV=1,5,2,7,602,,,,,,,,,,,52.0,45.7,137.3,58.2,104.0,121.4,64.8,111.7,95.1,194.0
Q9BVK6,Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TMED9 PE=1 SV=2,14,3,11,235,70.2,34.3,43.7,83.5,37.3,68.2,50.8,44.3,35.5,42.3,34.4,28.7,59.2,38.4,40.9,41.5,28.1,28.3,27.1,58.4
P00352,Aldehyde dehydrogenase 1A1 OS=Homo sapiens OX=9606 GN=ALDH1A1 PE=1 SV=2,9,5,51,501,110.8,75.5,93.0,93.9,123.2,124.3,141.5,99.3,96.4,93.8,169.7,148.6,130.0,192.9,196.7,154.6,208.2,167.5,118.7,205.9
Q16787,Laminin subunit alpha-3 OS=Homo sapiens OX=9606 GN=LAMA3 PE=1 SV=3,1,2,12,3333,91.3,63.7,64.5,157.0,73.1,99.0,121.4,89.7,64.8,99.5,91.7,87.7,165.2,149.4,109.6,107.5,90.9,104.9,62.8,130.9
P61803,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Homo sapiens OX=9606 GN=DAD1 PE=1 SV=3,28,3,9,113,63.5,31.7,50.0,90.8,45.4,68.2,64.8,46.1,42.6,53.4,38.0,29.4,42.6,42.4,39.7,48.8,33.2,36.3,29.5,50.8
P33260,Cytochrome P450 2C18 OS=Homo sapiens OX=9606 GN=CYP2C18 PE=1 SV=3,6,3,22,490,191.5,122.1,111.2,353.0,135.7,189.7,178.8,144.6,97.0,152.7,189.0,185.0,312.9,226.5,172.5,201.0,144.7,199.8,111.5,237.1
P07910,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4,11,4,12,306,110.4,63.5,126.1,126.5,115.3,124.7,114.7,89.1,98.1,103.6,60.9,53.8,104.5,67.3,68.2,75.6,59.0,74.8,54.4,101.3
P80404,"4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3",10,3,11,500,19.4,9.5,16.2,15.3,19.5,14.5,14.3,14.0,13.8,16.1,89.1,79.6,111.2,97.2,97.8,102.7,70.5,86.9,71.5,108.0
P15153,Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens OX=9606 GN=RAC2 PE=1 SV=1,9,2,7,192,246.9,151.1,203.4,359.3,181.0,268.8,258.6,202.0,170.3,210.8,61.0,50.5,91.5,70.9,63.0,82.6,45.9,62.2,36.3,62.4
P62072,Mitochondrial import inner membrane translocase subunit Tim10 OS=Homo sapiens OX=9606 GN=TIMM10 PE=1 SV=1,18,2,6,90,345.6,236.9,222.1,297.3,287.4,366.8,298.2,252.6,236.2,251.7,10.1,9.8,20.2,16.2,10.9,13.3,14.0,14.3,16.3,22.2
P42356,Phosphatidylinositol 4-kinase alpha OS=Homo sapiens OX=9606 GN=PI4KA PE=1 SV=4,4,6,8,2102,31.2,15.1,27.9,41.2,28.1,29.7,31.0,26.1,27.4,30.1,38.1,31.4,39.5,37.4,35.4,42.2,34.3,30.7,24.5,56.8
Q93062,RNA-binding protein with multiple splicing OS=Homo sapiens OX=9606 GN=RBPMS PE=1 SV=1,14,2,4,196,111.6,70.8,203.9,240.1,183.5,207.5,234.0,232.1,232.8,339.3,,,,,,,,,,
Q9NRK6,"ATP-binding cassette sub-family B member 10, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB10 PE=1 SV=2",3,3,40,738,207.8,132.9,201.7,270.4,184.0,209.8,227.7,170.8,179.5,193.8,22.3,22.8,34.3,20.6,21.8,24.4,17.5,19.9,15.5,29.9
Q01415,N-acetylgalactosamine kinase OS=Homo sapiens OX=9606 GN=GALK2 PE=1 SV=1,3,2,7,458,46.4,23.4,43.1,45.4,49.6,52.5,49.8,40.3,49.0,50.8,,,,,,,,,,
P14923,Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3,14,7,21,745,24.2,17.1,31.1,34.7,31.2,32.0,36.0,23.2,23.4,24.0,16.3,17.8,29.1,25.9,21.9,29.1,19.5,19.1,15.5,26.6
Q9Y365,START domain-containing protein 10 OS=Homo sapiens OX=9606 GN=STARD10 PE=1 SV=2,25,5,54,291,13.8,6.3,11.5,12.6,14.9,15.1,11.8,12.7,14.2,11.1,18.6,17.7,25.2,20.7,20.2,20.2,17.2,15.7,13.7,22.9
P48444,Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1,12,6,17,511,68.7,35.2,58.6,65.9,67.6,79.0,65.4,55.6,66.4,61.0,45.9,37.6,69.6,46.8,58.6,56.0,34.2,42.4,39.4,56.9
Q9NZ08,Endoplasmic reticulum aminopeptidase 1 OS=Homo sapiens OX=9606 GN=ERAP1 PE=1 SV=3,3,2,3,941,34.5,15.9,32.3,39.0,30.0,29.0,31.8,23.0,26.1,23.7,65.2,46.2,99.3,69.3,70.9,77.4,54.6,55.9,54.9,73.8
O94925,"Glutaminase kidney isoform, mitochondrial OS=Homo sapiens OX=9606 GN=GLS PE=1 SV=1",7,3,3,669,14.0,4.6,11.1,13.9,12.1,6.8,12.4,10.5,14.3,10.9,,,,,,,,,,
Q8NI35,InaD-like protein OS=Homo sapiens OX=9606 GN=PATJ PE=1 SV=3,2,2,4,1801,,,,,,,,,,,25.6,23.6,41.7,44.7,30.6,37.6,57.1,31.3,19.2,39.4
Q8TF21,Ankyrin repeat domain-containing protein 24 OS=Homo sapiens OX=9606 GN=ANKRD24 PE=2 SV=2,1,2,3,1146,,,,,,,,,,,14.9,17.9,35.5,14.2,32.6,46.5,16.1,22.2,17.2,34.7
Q8NBS9,Thioredoxin domain-containing protein 5 OS=Homo sapiens OX=9606 GN=TXNDC5 PE=1 SV=2,4,2,4,432,147.9,90.7,168.9,158.7,140.6,166.5,160.1,113.3,120.9,119.9,77.1,58.0,118.0,74.8,77.9,78.5,49.0,59.4,55.2,87.7
P43243,Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2,9,6,15,847,38.0,24.9,40.2,47.9,44.4,43.5,37.6,27.0,49.0,38.6,37.4,37.3,65.0,39.9,45.4,46.8,38.4,39.3,36.9,50.7
Q9Y265,RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1,9,3,8,456,24.6,14.1,30.4,32.5,27.0,31.8,35.2,21.8,30.3,28.2,24.9,22.7,44.9,32.0,32.7,37.1,26.1,30.2,29.0,41.1
O00264,Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3,16,4,17,195,342.9,198.0,224.7,552.3,242.1,394.7,373.2,251.8,223.5,265.6,211.7,229.4,393.5,283.6,232.9,277.7,183.2,245.5,129.0,275.8
Q16706,Alpha-mannosidase 2 OS=Homo sapiens OX=9606 GN=MAN2A1 PE=1 SV=2,3,3,4,1144,228.7,223.8,342.5,399.3,269.2,242.7,235.0,240.4,212.0,254.1,14.5,15.8,37.2,25.1,26.2,22.0,26.9,24.6,18.3,29.6
Q14324,"Myosin-binding protein C, fast-type OS=Homo sapiens OX=9606 GN=MYBPC2 PE=1 SV=2",2,2,5,1141,14.0,12.0,8.3,12.7,15.1,19.8,14.5,11.1,14.9,11.9,37.1,27.2,44.8,39.4,49.6,37.3,82.6,29.9,27.2,55.1
P41091,Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3,6,2,6,472,29.9,18.0,33.7,44.1,32.0,34.9,34.9,28.1,34.1,38.2,88.9,68.9,133.5,102.5,114.5,114.7,88.4,97.6,83.4,133.3
P55210,Caspase-7 OS=Homo sapiens OX=9606 GN=CASP7 PE=1 SV=1,6,2,4,303,28.3,15.3,15.3,24.7,18.7,24.7,19.5,15.9,17.5,15.6,33.6,24.4,27.8,24.3,29.5,29.9,22.3,23.9,26.7,37.9
O14735,CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens OX=9606 GN=CDIPT PE=1 SV=1,8,2,5,213,55.4,28.8,37.4,68.3,33.9,55.0,48.2,32.5,34.5,41.2,,,,,,,,,,
Q9NRA0,Sphingosine kinase 2 OS=Homo sapiens OX=9606 GN=SPHK2 PE=1 SV=2,3,2,3,654,15.0,8.5,18.8,25.7,8.1,22.9,22.8,11.8,15.1,18.8,29.8,28.3,59.8,55.6,47.3,47.3,47.0,29.9,32.3,57.2
P23588,Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=2,4,3,6,611,47.4,30.2,54.5,59.8,58.0,60.7,60.8,45.1,50.6,46.0,100.7,87.9,170.7,111.7,136.7,134.0,120.6,117.8,97.5,156.0
Q8NFV4,Protein ABHD11 OS=Homo sapiens OX=9606 GN=ABHD11 PE=1 SV=1,5,2,14,315,69.1,31.2,65.3,73.8,64.8,68.6,66.9,55.1,66.4,57.9,73.0,71.2,132.2,97.0,103.2,93.8,79.9,77.8,64.0,110.4
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,55,14,126,353,128.5,83.4,183.2,167.1,159.2,166.4,154.9,136.4,146.7,145.0,161.5,144.7,284.7,193.7,216.2,230.2,165.7,169.5,158.2,252.9
Q6UWP2,Dehydrogenase/reductase SDR family member 11 OS=Homo sapiens OX=9606 GN=DHRS11 PE=1 SV=1,17,3,6,260,32.3,20.6,30.0,31.6,29.2,28.6,29.0,24.2,30.2,27.2,54.6,36.5,60.9,52.1,59.1,67.1,42.3,52.5,50.2,70.7
Q9Y3L5,Ras-related protein Rap-2c OS=Homo sapiens OX=9606 GN=RAP2C PE=1 SV=1,12,2,5,183,14.4,5.6,12.3,15.4,10.7,13.1,14.6,12.2,9.9,14.3,10.0,8.6,20.1,15.4,17.4,14.7,16.1,11.4,9.1,13.8
Q16762,Thiosulfate sulfurtransferase OS=Homo sapiens OX=9606 GN=TST PE=1 SV=4,21,6,29,297,109.4,75.3,111.6,112.6,77.7,86.5,72.5,81.9,92.9,95.1,162.7,142.1,148.1,143.3,153.0,152.9,100.6,139.3,124.0,195.8
Q15185,Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1,14,2,3,160,67.7,35.8,56.3,45.4,64.7,62.4,60.4,54.2,47.6,61.0,101.1,83.1,113.3,84.5,119.6,108.4,67.5,43.8,81.0,93.2
P07814,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5,9,10,24,1512,96.3,60.9,111.3,111.4,100.6,106.7,107.2,91.6,103.2,92.9,85.3,67.9,137.6,95.6,110.7,116.3,78.3,97.8,84.2,125.0
Q86UT6,NLR family member X1 OS=Homo sapiens OX=9606 GN=NLRX1 PE=1 SV=1,3,2,3,975,25.3,12.5,19.6,31.9,28.8,25.6,25.1,20.4,32.3,21.6,27.8,23.8,32.8,23.0,29.9,27.9,22.5,24.8,17.5,36.1
P33908,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA OS=Homo sapiens OX=9606 GN=MAN1A1 PE=1 SV=3",3,2,4,653,29.9,17.5,44.7,68.4,32.7,40.4,42.3,245.4,42.1,270.7,50.1,41.5,98.3,60.1,55.2,51.9,50.0,57.2,46.5,87.2
Q9Y4E8,Ubiquitin carboxyl-terminal hydrolase 15 OS=Homo sapiens OX=9606 GN=USP15 PE=1 SV=3,3,2,4,981,14.6,9.0,9.6,17.0,15.8,12.9,18.5,10.6,10.3,12.6,,,,,,,,,,
O00203,AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,4,4,9,1094,135.7,90.0,150.5,163.6,148.4,170.1,135.8,138.3,127.1,156.7,76.7,72.7,109.9,87.2,85.7,98.9,153.1,96.3,71.0,130.7
O14949,Cytochrome b-c1 complex subunit 8 OS=Homo sapiens OX=9606 GN=UQCRQ PE=1 SV=4,24,2,10,82,266.2,177.7,180.4,344.4,179.6,261.8,261.8,204.3,190.6,208.7,86.6,86.6,123.2,94.4,95.2,82.9,75.0,65.2,49.7,109.9
P10916,"Myosin regulatory light chain 2, ventricular/cardiac muscle isoform OS=Homo sapiens OX=9606 GN=MYL2 PE=1 SV=3",16,3,4,166,,,,,,,,,,,10.2,12.1,10.3,25.4,25.1,19.0,549.7,62.9,26.8,76.8
P61353,60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2,14,2,5,136,115.2,59.2,112.0,130.1,81.6,99.9,90.5,74.1,71.1,62.5,81.4,79.3,100.2,93.8,95.6,74.8,67.5,73.2,56.5,101.3
