Abundances (Grouped): NASA Ftl 126,Abundances (Grouped): NASA Ftl 127N,Abundances (Grouped): NASA Ftl 127C,Abundances (Grouped): NASA Ftl 128N,Abundances (Grouped): NASA Ftl 128C,Abundances (Grouped): NASA Ftl 129N,Abundances (Grouped): NASA Ftl 129C,Abundances (Grouped): BA Pool Ftl 130N,Abundances (Grouped): Ftl Pool 130C,Abundances (Grouped): Pool Ftl 131,Abundances (Grouped): NASA GC 126,Abundances (Grouped): NASA GC 127N,Abundances (Grouped): NASA GC 127C,Abundances (Grouped): NASA GC 128N,Abundances (Grouped): NASA GC 128C,Abundances (Grouped): NASA GC 129N,Abundances (Grouped): NASA GC 129C,Abundances (Grouped): BA Pool GC 130N,Abundances (Grouped): GC Pool 130C,Abundances (Grouped): Pool GC 131,mouse_accession,Description,Coverage [%]
88.6,61.2,121.4,102.8,111.4,96.7,113.3,66.5,85.1,78.7,104.7,96.5,181.3,114.6,155.7,148.9,105.9,82.3,105.5,133.1,P53996,Cellular nucleic acid-binding protein OS=Mus musculus OX=10090 GN=Cnbp PE=1 SV=2,13
28.9,15.6,31.9,30.6,25.7,29.3,31.9,24.6,27.8,24,63.1,54.6,89.7,73.6,81.1,96.8,47.4,64.3,58,103.8,Q3UM45,Protein phosphatase 1 regulatory subunit 7 OS=Mus musculus OX=10090 GN=Ppp1r7 PE=1 SV=2,24
34.4,19.5,31.4,44.8,27.2,41.7,38.4,31.7,36.2,32.6,51.3,41.4,57.6,45.9,57.5,50.6,55.4,47,43.9,68.4,P70266,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 OS=Mus musculus OX=10090 GN=Pfkfb1 PE=1 SV=2",9
198,100.5,197.6,211.4,196,211.6,196.4,153.8,167.6,155.7,78.2,66.1,126.4,85.1,93,91.8,74.6,75,66.1,102.4,P17427,AP-2 complex subunit alpha-2 OS=Mus musculus OX=10090 GN=Ap2a2 PE=1 SV=2,24
,,,,,,,,,,59.4,56.6,100,73.9,96.8,93.2,59.2,66.1,66.9,91.2,Q9CQG2,RNA N6-adenosine-methyltransferase METTL16 OS=Mus musculus OX=10090 GN=Mettl16 PE=1 SV=1,4
434.5,255,610,794.8,526.2,604.7,669,564.8,539.2,647.3,798.5,939.6,687.2,930.8,730.4,729.1,635.2,766.3,413,970.8,Q9EQW6,Oligodendrocyte transcription factor 2 OS=Mus musculus OX=10090 GN=Olig2 PE=1 SV=1,2
44.2,28.4,59.1,109.2,44.1,42.6,50.8,50,51.1,52.7,165.4,97.9,161.6,137.3,145.8,151.2,86.5,128.1,112.1,179.5,Q64339,Ubiquitin-like protein ISG15 OS=Mus musculus OX=10090 GN=Isg15 PE=1 SV=4,6
295.5,171.2,110.5,272.6,170.7,274.8,218.3,182,117.2,162,210.7,199.2,295.2,281.5,192.1,235.1,201.3,203.2,112.9,232.5,O88824,Protein JTB OS=Mus musculus OX=10090 GN=Jtb PE=1 SV=1,5
369.8,252.2,533,485.6,432.3,441.4,436.4,344.2,414.7,341,138.6,131.4,219.2,152.1,180.9,186.4,128,133.4,128.3,204.4,Q61292,Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2,2
91.6,63.7,101.4,140.8,89.2,103.2,84.8,76.8,81.6,92.6,56.4,64.3,88.8,61.7,69.3,57.1,40.9,70.6,41.4,85.7,Q2KN98,Cytospin-A OS=Mus musculus OX=10090 GN=Specc1l PE=1 SV=1,1
81,55.3,88.7,91,89.7,94.1,106.8,68.8,95.9,82.9,121.2,110.2,192.5,123.8,159.8,168.6,112.7,124.2,121.2,175.4,Q91X91,Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Mus musculus OX=10090 GN=Qprt PE=1 SV=1,29
43.1,23.6,41,51.7,42.9,46.8,41.8,41,49.3,39.7,72.6,70.4,82.3,89.3,85.9,66.8,65,58.5,50.6,83.1,Q91X52,L-xylulose reductase OS=Mus musculus OX=10090 GN=Dcxr PE=1 SV=2,29
64,42.2,67.3,69,67.2,69.6,68.4,45.2,64.2,50.5,65.6,67.4,122.2,70.9,87.2,90.4,71.3,76.2,69.2,103.5,G5E872,Aminopeptidase RNPEPL1 OS=Mus musculus OX=10090 GN=Rnpepl1 PE=3 SV=2,1
,,,,,,,,,,45.3,46.2,40.2,38.5,25.9,29.6,22.2,33.4,14.2,52.3,Q9D6U8,Protein FAM162A OS=Mus musculus OX=10090 GN=Fam162a PE=1 SV=1,5
126.1,87.5,60.1,160.9,78.2,114.1,99.5,84.8,85.8,95.5,136,120.9,148.2,145.6,125.1,125.6,86.5,121.1,92.7,147.7,P48771,"Cytochrome c oxidase subunit 7A2, mitochondrial OS=Mus musculus OX=10090 GN=Cox7a2 PE=1 SV=2",12
33.2,30.3,44.2,46.9,38.5,37.6,46,39.4,43.8,38.3,81.7,36.7,94.1,65.9,63.9,88.5,67.4,62.6,42.4,83.4,Q04447,Creatine kinase B-type OS=Mus musculus OX=10090 GN=Ckb PE=1 SV=1,28
62.7,53.9,79.3,100.1,65.9,66.1,62.4,58.6,53.9,55.8,28.1,31.7,62.7,39.6,39.1,38.2,26.1,32.9,25.6,46,Q8CIB5,Fermitin family homolog 2 OS=Mus musculus OX=10090 GN=Fermt2 PE=1 SV=1,13
83.6,44.1,70.2,73.2,74.7,80.4,71.6,57.9,70.4,62.8,80.7,74.3,87.4,94.1,108.6,85,86.3,69.6,76.5,100.8,Q8CI75,DIS3-like exonuclease 2 OS=Mus musculus OX=10090 GN=Dis3l2 PE=1 SV=1,3
17,6.3,21.7,23.2,20,23.1,19.2,11.1,21.1,18.1,70.3,63.2,104.7,86.6,95.3,101.2,72.2,79.8,75.9,115.2,P01887,Beta-2-microglobulin OS=Mus musculus OX=10090 GN=B2m PE=1 SV=2,27
38.6,26.3,40.9,55.2,36.2,38.1,30.1,26.5,20.9,31.4,31.7,35.3,62.6,39.7,41.5,44.7,27.3,38,24.6,52.4,Q80WC7,Arf-GAP domain and FG repeat-containing protein 2 OS=Mus musculus OX=10090 GN=Agfg2 PE=1 SV=1,8
,,,,,,,,,,34.2,27.7,49.8,33.7,39.6,43.7,27.8,30.2,24.6,39.4,Q8C0E2,Vacuolar protein sorting-associated protein 26B OS=Mus musculus OX=10090 GN=Vps26b PE=1 SV=1,7
340.3,257.1,316.9,429.1,322.3,346.4,384.4,308.3,352.2,310.1,11.3,5.8,15.3,10.7,9.9,11.1,7.1,9.2,10.4,14.5,Q8R3P6,Integrator complex subunit 14 OS=Mus musculus OX=10090 GN=Ints14 PE=1 SV=1,2
16.8,29.5,13.8,15.8,15.8,132.4,69.9,59.3,15.2,69,240.6,25.2,105.5,41.5,27.1,31.1,29.2,49.8,17.3,63.3,Q9CQC2,Colipase OS=Mus musculus OX=10090 GN=Clps PE=1 SV=1,23
217.7,117.3,213.9,238.5,232.9,240.5,228.7,181.3,212.9,205.1,242.7,209.6,332.5,237.5,290,278.9,213.1,247.7,189.3,315.5,P80317,T-complex protein 1 subunit zeta OS=Mus musculus OX=10090 GN=Cct6a PE=1 SV=3,20
28.2,15.1,24.3,28.5,23.6,25.3,26.7,25.7,23.4,23.2,32.1,30,41,30.5,41.7,37.1,28.2,30.9,27.5,43,Q8CAK1,"Putative transferase CAF17 homolog, mitochondrial OS=Mus musculus OX=10090 GN=Iba57 PE=1 SV=1",9
106.7,69.5,144.6,157,134.6,146.7,123.4,109.8,125.8,133.2,12.5,12,17.4,12.2,17.6,16.1,12,11.3,10.8,18.9,O08582,GTP-binding protein 1 OS=Mus musculus OX=10090 GN=Gtpbp1 PE=1 SV=2,9
10.5,5.7,10.7,12.7,13.2,7,13,10.8,10.3,12.5,,,,,,,,,,,Q7TMW6,Cytosolic iron-sulfur assembly component 3 OS=Mus musculus OX=10090 GN=Ciao3 PE=1 SV=2,4
10.4,6,12.3,9.8,13,10.6,13.1,8.3,11.6,12.9,,,,,,,,,,,Q9R1C7,Pre-mRNA-processing factor 40 homolog A OS=Mus musculus OX=10090 GN=Prpf40a PE=1 SV=1,4
114.5,77.1,141.2,118.8,116.3,109.4,130.9,87,111.4,101,107.6,99.7,123.8,105.4,117.5,120.2,86.2,95.3,82.9,120.1,Q60692,Proteasome subunit beta type-6 OS=Mus musculus OX=10090 GN=Psmb6 PE=1 SV=3,21
10.7,10.8,10.3,21.3,13.7,13.5,11.7,8.7,10.1,9.8,36.4,28.8,47.3,30.9,24.6,38.3,66.5,43.2,26.7,46.1,P62141,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus OX=10090 GN=Ppp1cb PE=1 SV=3,17
64.6,38.4,80.8,89.9,68.4,84.9,83.9,62.3,66.8,57.4,60.3,51.1,70,49,66.6,63.5,45.8,43.6,40.4,60,P59242,Cingulin OS=Mus musculus OX=10090 GN=Cgn PE=1 SV=1,7
99.8,65.4,127.1,121.4,115.6,104.6,108.9,79.3,83.3,91.9,30.5,27.9,91.2,56.8,90.2,75.5,41.3,56.2,58.9,72,P60670,Nuclear protein localization protein 4 homolog OS=Mus musculus OX=10090 GN=Nploc4 PE=1 SV=3,10
27.7,19.5,31.7,26.1,27.7,24.9,35.7,24.7,27,24.8,,,,,,,,,,,P18826,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform OS=Mus musculus OX=10090 GN=Phka1 PE=1 SV=3",2
47.5,33,46.7,119.1,44,53.1,54.3,39.7,49.9,54.6,91.3,90.8,124,105.8,118.2,116.9,73.8,97.7,84.3,123.1,P38647,"Stress-70 protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspa9 PE=1 SV=3",17
32.3,19.9,41.2,37.1,33.8,28.6,36.8,30.6,31.6,28.9,19.3,9.5,25.1,16.3,15.6,19,11.9,13.7,9.9,20.6,Q9D820,Prolyl-tRNA synthetase associated domain-containing protein 1 OS=Mus musculus OX=10090 GN=Prorsd1 PE=1 SV=1,18
87.3,57.5,94.9,110.4,103,96.8,100.2,73.8,98.4,83.7,66.1,40.7,74.8,67.9,70.4,72.9,49.6,55.6,35.9,78.5,Q8BG05,Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus OX=10090 GN=Hnrnpa3 PE=1 SV=1,24
33.9,20.1,36.8,37.4,35.9,35.6,34.5,27.2,31.3,31.6,27.4,27,42.8,30,31,36.4,27,29.5,33,38,Q570Y9,DEP domain-containing mTOR-interacting protein OS=Mus musculus OX=10090 GN=Deptor PE=1 SV=2,24
96.8,57.4,171.6,218.9,135.7,133.3,142.8,97,135.4,109.4,87.6,80.2,223.8,157.8,220.1,225,137.4,117.2,164.2,158.5,Q8K1J6,"CCA tRNA nucleotidyltransferase 1, mitochondrial OS=Mus musculus OX=10090 GN=Trnt1 PE=1 SV=1",7
23.6,15.1,24.5,47.4,23.2,26.2,23.3,17.2,14.8,19.1,53.4,50.2,86.2,75.2,78.6,63.8,92.5,63.9,37.4,78.1,Q8VI47,ATP-binding cassette sub-family C member 2 OS=Mus musculus OX=10090 GN=Abcc2 PE=1 SV=2,6
182.4,97.7,303.2,303.2,234.2,251.9,309.2,264.5,267.6,344,221.1,210.5,325.8,257.8,338.8,330,246.9,318.1,221.9,453.8,Q6ZPG2,WD repeat-containing protein 90 OS=Mus musculus OX=10090 GN=Wdr90 PE=1 SV=2,0
22.3,17,32,36.9,33.2,30.6,35.7,28.3,28.1,25.1,22.6,21.1,34.8,22.5,25.2,17.8,20.6,19.3,18.5,27.2,Q8VE47,Ubiquitin-like modifier-activating enzyme 5 OS=Mus musculus OX=10090 GN=Uba5 PE=1 SV=2,9
101.2,48.9,88.1,97.1,97.6,92.6,101,73.9,116.6,92,67.6,68.4,116.4,82.5,101,83.5,79.9,76.4,68,89.5,Q8K4H1,Kynurenine formamidase OS=Mus musculus OX=10090 GN=Afmid PE=1 SV=1,24
114.7,80.4,136.9,145.3,148,141.1,144.6,107,141.7,130.7,13.5,12.3,20.5,16.8,17.6,20.3,20.6,15.3,13.8,21.8,Q9D8X1,Copper homeostasis protein cutC homolog OS=Mus musculus OX=10090 GN=Cutc PE=1 SV=1,11
13.1,9.5,14,17.4,15.9,16.1,16.7,11.8,16.6,16,24.7,16.6,29.3,21.1,23.9,24,15.3,19.8,23.2,31.5,P30285,Cyclin-dependent kinase 4 OS=Mus musculus OX=10090 GN=Cdk4 PE=1 SV=1,17
10.1,6.1,15.3,12.7,15.6,15.3,14.2,9.9,12.1,17.9,,,,,,,,,,,Q7TPE5,Probable RNA polymerase II nuclear localization protein SLC7A6OS OS=Mus musculus OX=10090 GN=Slc7a6os PE=1 SV=1,4
,,,,,,,,,,88.6,75.1,143.4,89.9,101.5,120.4,61.5,89.6,72.6,121.3,Q6PD03,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform OS=Mus musculus OX=10090 GN=Ppp2r5a PE=1 SV=1,4
92.1,45.3,131.2,254,120.8,157.7,181.5,136.2,151.1,164.3,62.8,60.3,131.4,88.6,112.2,129.9,71.2,107.1,88.1,161.7,P97311,DNA replication licensing factor MCM6 OS=Mus musculus OX=10090 GN=Mcm6 PE=1 SV=1,1
139.9,130.5,162.4,197.5,159.9,155.9,322.8,236.1,167,267.3,146.7,44.7,80.8,50.3,60.8,72.5,308.8,82,50.2,104.6,P31001,Desmin OS=Mus musculus OX=10090 GN=Des PE=1 SV=3,42
248.1,138,215.3,295.1,201.8,247.5,267.7,204.1,161.9,216.7,97.5,103,203.5,153.8,126.6,115.4,106.5,119.8,71.4,141.3,P55096,ATP-binding cassette sub-family D member 3 OS=Mus musculus OX=10090 GN=Abcd3 PE=1 SV=2,14
49.2,37.3,28.6,46.4,20.5,30,22.8,24.3,32.6,28.2,35.5,53.2,51,67.6,52.4,56.1,51.1,52.6,43.2,72.6,P11714,Cytochrome P450 2D9 OS=Mus musculus OX=10090 GN=Cyp2d9 PE=1 SV=2,9
42.8,28.4,61.6,68.8,50.6,60.2,53.9,33.2,44.6,42.3,,,,,,,,,,,Q922K7,Probable 28S rRNA (cytosine-C(5))-methyltransferase OS=Mus musculus OX=10090 GN=Nop2 PE=1 SV=1,1
61.8,33,61.4,78.7,52.1,62.9,65.4,50.9,49.4,64.7,11.9,12.5,21.6,16.3,17.1,17.1,13.6,17.3,14.5,25.4,Q7TMY8,E3 ubiquitin-protein ligase HUWE1 OS=Mus musculus OX=10090 GN=Huwe1 PE=1 SV=5,3
61.1,39.7,50.9,101.7,51.7,73.6,72.6,49,45.9,60.8,72,73.9,128.2,86.6,85.7,97.8,75.7,82.1,59,102.1,P62835,Ras-related protein Rap-1A OS=Mus musculus OX=10090 GN=Rap1a PE=1 SV=1,16
11.8,7.9,13,10.6,9.7,11.6,8.9,9.7,12.7,7.9,,,,,,,,,,,Q9D7E3,Esterase OVCA2 OS=Mus musculus OX=10090 GN=Ovca2 PE=1 SV=1,5
12.4,9.7,16.6,16.7,11.1,11.7,15.2,13.5,15.9,13.6,13,8,14.9,16.2,11.8,17.2,12.6,8.4,9.5,19.4,P28666,Murinoglobulin-2 OS=Mus musculus OX=10090 GN=Mug2 PE=1 SV=2,6
126.9,63,51.2,52.3,56.7,89.7,62.3,75.9,49.4,88.1,,,,,,,,,,,Q8R1Y2,bMERB domain-containing protein 1 OS=Mus musculus OX=10090 GN=Bmerb1 PE=1 SV=1,3
,,,,,,,,,,5.3,7.1,9.5,9.1,8.8,8.2,29.9,12.6,6.5,15.3,O35841,Apoptosis inhibitor 5 OS=Mus musculus OX=10090 GN=Api5 PE=1 SV=2,9
16.6,13.7,14.3,38.8,10.3,18.1,20.5,13.2,11.2,17.4,16.7,8.9,27.9,15.5,14.3,20,7.5,11.1,7.7,14.2,E9Q5K4,Cytochrome P450 2C44 OS=Mus musculus OX=10090 GN=Cyp2c23 PE=1 SV=1,7
,,,,,,,,,,12.3,9.1,20.5,14.3,15,18.4,13.6,9.5,10.2,17.9,Q8K2D3,Enhancer of mRNA-decapping protein 3 OS=Mus musculus OX=10090 GN=Edc3 PE=1 SV=1,3
28.1,30.1,51.4,46.1,46,39.4,43.1,29.4,39.6,45.9,31.2,26.3,51,32.4,37.7,38.2,33.4,35.8,28.1,45,Q9D8X2,Coiled-coil domain-containing protein 124 OS=Mus musculus OX=10090 GN=Ccdc124 PE=1 SV=1,6
20.2,10.2,21.8,29.1,25.5,29.2,18.8,20.2,26.5,19.6,141.6,144.8,239.3,163.5,186.1,172.7,124,138.1,142.5,210.2,O08738,Caspase-6 OS=Mus musculus OX=10090 GN=Casp6 PE=1 SV=1,12
,,,,,,,,,,22.8,16,44,25.3,37.9,34.1,23.9,27.1,23.6,36.1,P31955,Amphiregulin OS=Mus musculus OX=10090 GN=Areg PE=2 SV=1,3
55.5,29,45.9,53,48.3,57.7,51.5,42.2,49.5,45.3,33.7,37.4,61.5,47.1,45.3,50.7,34.6,29.6,35.1,44.2,Q9DB05,Alpha-soluble NSF attachment protein OS=Mus musculus OX=10090 GN=Napa PE=1 SV=1,22
45,19.5,33.3,45.8,42.1,44.4,49.5,34.8,37.7,37,53.3,50.7,78.3,62.3,65.5,53.7,49.6,48.4,44.6,63,O09012,Peroxisomal targeting signal 1 receptor OS=Mus musculus OX=10090 GN=Pex5 PE=1 SV=2,24
59.3,42.4,80.4,91.1,73.2,72.4,71.1,60.3,68.4,65.1,56.8,39.8,68.3,51.3,66,69.6,45,49.3,43.7,65.7,Q9DBT5,AMP deaminase 2 OS=Mus musculus OX=10090 GN=Ampd2 PE=1 SV=1,6
875.9,600.2,843.8,981.9,830.4,977.7,880.7,826.9,727,910.1,690.9,725.1,973.9,859.3,807.9,790.8,790.4,825.8,527.9,985.2,P16858,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gapdh PE=1 SV=2,23
41.6,15.5,18.5,23,29.6,13.8,14.4,16.4,28,19.2,41.4,43.8,66.4,47.1,47.7,50.9,35.9,32.7,33.6,55.2,Q91YJ2,Sorting nexin-4 OS=Mus musculus OX=10090 GN=Snx4 PE=1 SV=1,12
97.4,48.9,73.3,112.4,113.4,112.6,122.2,81.1,93.2,93.7,62.5,61.2,106.6,68.3,70.8,64.7,50.8,60.8,52.1,79.3,Q03311,Cholinesterase OS=Mus musculus OX=10090 GN=Bche PE=1 SV=2,6
122.6,86,124.7,146.1,118.5,126.5,114.4,108.7,99.1,105.9,46.7,39.5,68.6,55.4,61.9,61.6,51.9,54.1,39.6,68.2,Q9QZX7,Serine racemase OS=Mus musculus OX=10090 GN=Srr PE=1 SV=1,8
23.9,12.3,29.1,28,27,27.6,24.3,20.6,24.1,18.9,20.1,19.5,30.8,24.3,24.2,27,20.6,23.4,20,29.1,Q9ER72,"Cysteine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Cars1 PE=1 SV=2",11
53.2,38.6,70.7,77.1,55.2,55.1,67.4,47.5,51.7,52.8,19.1,17.4,32.7,16.2,20.9,21.2,33.4,19.4,15,25.1,P21107,Tropomyosin alpha-3 chain OS=Mus musculus OX=10090 GN=Tpm3 PE=1 SV=3,24
244.3,140.4,331.1,300.7,307.8,282.9,299.1,212.2,253.2,226,82.4,65.4,117.6,101.4,99.1,103.9,71.8,79.4,70.8,106,Q8BWG4,Uncharacterized protein KIAA1755 homolog OS=Mus musculus OX=10090 PE=2 SV=2,1
,,,,,,,,,,43.5,37,77.6,55.6,60,62.3,46.7,52.8,42.6,71.8,Q9JM96,Cdc42 effector protein 4 OS=Mus musculus OX=10090 GN=Cdc42ep4 PE=1 SV=1,13
36.9,19.1,30.8,92.8,21.5,44.3,38.2,32.8,19.1,24.8,37.2,34.4,78.7,41.3,37.1,38.6,21.5,28.5,15.2,36.7,P00158,Cytochrome b OS=Mus musculus OX=10090 GN=Mt-Cyb PE=1 SV=1,2
131.6,96.6,159.4,180.9,154.2,128.9,143.9,123.3,160.4,139.3,96.5,92.4,159.7,117.9,121.9,115.7,104.8,106.9,93.1,124.3,B1AQJ2,Ubiquitin carboxyl-terminal hydrolase 36 OS=Mus musculus OX=10090 GN=Usp36 PE=1 SV=1,1
179.2,86.3,158.2,180.5,132.4,177.1,163,124.8,135.4,128.2,72,71.8,69.3,74.3,69.5,78.6,52.4,53.4,48.4,79.9,P47963,60S ribosomal protein L13 OS=Mus musculus OX=10090 GN=Rpl13 PE=1 SV=3,20
,,,,,,,,,,22.6,21.5,42.8,22.4,28,31.2,13.8,25.1,15.2,31,Q91ZW2,GDP-fucose protein O-fucosyltransferase 1 OS=Mus musculus OX=10090 GN=Pofut1 PE=1 SV=1,5
140.4,37.8,109.1,120.7,143.1,98.4,127.6,53.2,52.4,55.7,63.4,106.9,58.3,89.1,142,71.4,71.7,61.6,55,66.7,Q3TC46,Protein PAT1 homolog 1 OS=Mus musculus OX=10090 GN=Patl1 PE=1 SV=2,1
238.4,142.2,166.3,364.8,185.8,275.7,262.6,198.5,170.8,202.1,401.9,359,582.2,477,401.3,404.7,307.9,360.2,245.6,474.6,P58710,L-gulonolactone oxidase OS=Mus musculus OX=10090 GN=Gulo PE=1 SV=3,20
33.1,23.2,34.6,41.3,40.9,33.9,32.3,29.3,33.1,34.8,14.2,17.1,25.9,15.4,20.7,20.3,14.9,16.6,15.3,20.5,Q9R0U0,Serine/arginine-rich splicing factor 10 OS=Mus musculus OX=10090 GN=Srsf10 PE=1 SV=2,15
74,54.7,78.7,71.3,58.1,62.2,61.1,47.2,65.2,48,78.6,45.4,95.5,63.1,95.5,85.3,56.4,65.8,98.7,113.2,Q63880,Carboxylesterase 3A OS=Mus musculus OX=10090 GN=Ces3a PE=1 SV=2,22
122,76,100.9,128.2,154.2,118.2,140.3,110.8,94.2,105.3,169.2,148.5,250.9,180.6,209.7,173.8,156.6,172.4,129.8,219.6,Q9WV68,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing] OS=Mus musculus OX=10090 GN=Decr2 PE=1 SV=1",23
71.6,34.9,75,67.5,47.1,60,54,58.4,49.5,59.6,28.8,16.7,25.2,28.5,29.1,26.9,19.6,22.2,15.5,43.1,Q61129,Complement factor I OS=Mus musculus OX=10090 GN=Cfi PE=1 SV=3,2
11.5,8.4,13,21.5,11.2,16.2,12.4,8.3,11.3,12.9,,,,,,,,,,,Q9ERL9,Guanylate cyclase soluble subunit alpha-1 OS=Mus musculus OX=10090 GN=Gucy1a1 PE=1 SV=2,2
,,,,,,,,,,27.8,36,49.5,42.2,34.6,36.4,22.5,27.7,22,37.8,Q8BGS7,Choline/ethanolaminephosphotransferase 1 OS=Mus musculus OX=10090 GN=Cept1 PE=1 SV=1,3
35,17.5,18.9,52.5,23.9,36.3,33.4,22.5,23.9,24.2,,,,,,,,,,,Q8BPE4,Transmembrane protein 177 OS=Mus musculus OX=10090 GN=Tmem177 PE=1 SV=1,10
50.2,29.1,62.5,73.7,58.8,60.5,61.6,44.1,58.7,66.9,56,54.5,76.3,74.5,59.9,69.7,74.9,67.6,43.6,82.3,Q8BLY1,SPARC-related modular calcium-binding protein 1 OS=Mus musculus OX=10090 GN=Smoc1 PE=2 SV=2,3
25.4,17.3,29.4,27.3,26.3,28.1,26.8,22.6,31.3,21.2,,,,,,,,,,,Q9QZM0,Ubiquilin-2 OS=Mus musculus OX=10090 GN=Ubqln2 PE=1 SV=2,11
93.6,56.3,113.8,127.6,103,117.2,107.2,81.3,98.8,86.9,51.2,39,88.5,54.5,64.2,59.9,48.3,50.5,44.9,75.8,Q9QZE5,Coatomer subunit gamma-1 OS=Mus musculus OX=10090 GN=Copg1 PE=1 SV=1,16
,,,,,,,,,,4.7,5,5.4,2.3,7.1,8.4,206.5,23.1,7.2,26.8,O09161,Calsequestrin-2 OS=Mus musculus OX=10090 GN=Casq2 PE=1 SV=3,2
,,,,,,,,,,13.3,8.8,19.4,7.9,12.5,15.9,8.7,11.3,9.4,16.5,Q6PGH2,Jupiter microtubule associated homolog 2 OS=Mus musculus OX=10090 GN=Jpt2 PE=1 SV=1,7
52.6,30.6,48.1,51.7,47.9,50.8,48.4,42.9,51.2,46.9,28.1,23.8,29.9,23.4,25.1,28.1,20.3,20.6,24.3,29.6,Q9JHW2,Omega-amidase NIT2 OS=Mus musculus OX=10090 GN=Nit2 PE=1 SV=1,22
20.6,15.3,29.8,68.3,26.2,30.8,24.9,24.8,22.7,25.7,48.5,42.3,80.8,49.5,67.8,67.3,47.1,49.3,47.5,76.2,Q8R2Q8,Bone marrow stromal antigen 2 OS=Mus musculus OX=10090 GN=Bst2 PE=1 SV=1,11
27,14.7,20.2,30.6,15.1,26,24.3,18.9,19.3,24.4,28.5,24.8,34.8,31.3,34.4,38.5,24.6,31.9,20.3,42.8,Q99LC3,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Mus musculus OX=10090 GN=Ndufa10 PE=1 SV=1",31
86.9,55.4,105.4,136.8,104.9,116.2,164.4,97.4,103.5,130.4,120,63.8,164.7,142.2,114.5,174.8,152.6,123.7,75.7,141.7,P14069,Protein S100-A6 OS=Mus musculus OX=10090 GN=S100a6 PE=1 SV=3,17
,,,,,,,,,,78.2,100.8,187.3,142.2,145.3,145.5,93.1,124.5,50.1,125.9,A0A0B4J1L0,Carcinoembryonic antigen-related cell adhesion molecule 15 OS=Mus musculus OX=10090 GN=Ceacam15 PE=1 SV=1,3
38.5,27.6,49.2,49.5,46.8,46.1,53.2,29.7,50.6,47.3,,,,,,,,,,,Q99PL6,UBX domain-containing protein 6 OS=Mus musculus OX=10090 GN=Ubxn6 PE=1 SV=1,6
22.6,11.7,21.4,21.9,13.4,25.7,25,17,19.9,17.3,17,12.4,29.1,22.7,27.2,26.3,18.9,19.8,16.8,23,E9Q5C9,Nucleolar and coiled-body phosphoprotein 1 OS=Mus musculus OX=10090 GN=Nolc1 PE=1 SV=1,2
,,,,,,,,,,46,42.8,75.9,55.9,66.5,65.7,46.5,51.9,51.6,77.1,Q8CH18,Cell division cycle and apoptosis regulator protein 1 OS=Mus musculus OX=10090 GN=Ccar1 PE=1 SV=1,1
234.2,160.9,284.6,286.2,259,260.4,257.5,222.2,191,222.8,126,97.6,229.9,119.9,156.6,127,91.4,104.3,88.9,148.8,O35423,"Serine--pyruvate aminotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Agxt PE=1 SV=3",21
82.4,38.5,59.3,115.2,52.1,76.1,69.7,59.5,63.6,69.7,72.6,84.1,166.8,113.9,97.5,93.5,84.9,96.1,57.2,128,O54749,Cytochrome P450 2J5 OS=Mus musculus OX=10090 GN=Cyp2j5 PE=1 SV=1,14
25,15.4,21.5,30.6,18,26.7,27.2,16.3,17,18.1,,,,,,,,,,,Q6P6J9,Thioredoxin domain-containing protein 15 OS=Mus musculus OX=10090 GN=Txndc15 PE=1 SV=1,10
92.6,60.7,111.3,121.1,97.6,100.9,109.1,73,84.3,85.9,13.6,12,20.9,14.9,17.8,19.6,11.9,15.5,12.6,20.6,Q9QZQ1,Afadin OS=Mus musculus OX=10090 GN=Afdn PE=1 SV=3,8
102.2,53.3,81.7,104.7,103.2,104.3,101.4,78,50.8,85.8,75.6,87.1,148.1,96.1,98.2,99.4,87.5,83.2,47,104.9,Q9JM62,Receptor expression-enhancing protein 6 OS=Mus musculus OX=10090 GN=Reep6 PE=1 SV=1,15
99.8,54.7,60.2,155.6,52.9,94.5,94.5,64.6,52.5,63.1,76.9,78.2,163.3,110.4,78.2,96,60.1,88.8,41.8,94.7,P54276,DNA mismatch repair protein Msh6 OS=Mus musculus OX=10090 GN=Msh6 PE=1 SV=3,1
24.6,13.9,43.1,37.8,28.4,31.4,29.7,26.5,26.3,29.3,18.2,13,28.4,23,23.7,22.2,16,21.9,15.1,30.2,Q99K01,Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pdxdc1 PE=1 SV=2,13
